,Country Name,Country Code
0,Zimbabwe,ZWE
1,Zambia,ZMB
2,Uganda,UGA
3,Togo,TGO
4,Tanzania,TZA
5,Sudan,SDN
6,South Sudan,SSD
7,South Africa,ZAF
8,Somalia,SOM
9,Sierra Leone,SLE
10,Seychelles,SYC
11,Senegal,SEN
12,Sao Tome and Principe,STP
13,Rwanda,RWA
14,Nigeria,NGA
15,Niger,NER
16,Namibia,NAM
17,Mozambique,MOZ
18,Morocco,MAR
19,Mauritius,MUS
20,Mauritania,MRT
21,Mali,MLI
22,Malawi,MWI
23,Madagascar,MDG
24,Liberia,LBR
25,Lesotho,LSO
26,Libya,LBY
27,Kenya,KEN
28,Guinea,GIN
29,Guinea-Bissau,GNB
30,Ghana,GHA
31,"Gambia, The",GMB
32,Gabon,GAB
33,Eswatini,SWZ
34,Eritrea,ERI
35,Ethiopia,ETH
36,"Egypt, Arab Rep.",EGY
37,Equatorial Guinea,GNQ
38,Djibouti,DJI
39,Cote d'Ivoire,CIV
40,"Congo, Rep.",COG
41,Comoros,COM
42,"Congo, Dem. Rep.",COD
43,Chad,TCD
44,Central African Republic,CAF
45,Burundi,BDI
46,Cabo Verde,CPV
47,Burkina Faso,BFA
48,Cameroon,CMR
49,Benin,BEN
50,Botswana,BWA
51,Angola,AGO
52,Algeria,DZA
53,Tunisia,TUN
